"","estimate","X2.5.","X97.5.","margpp","beta"
"CLOCK",-2.66904921752709e-05,0,0,0.00142873299789614,0
"CREB1",0,0,0,3.67909979901583e-05,0
"CREB3",-5.04387289384668e-05,0,0,0.00222838977628988,-0.000113961701301124
"CREB3L1",0,0,0,8.16193703753128e-06,0
"CREB3L4",0,0,0,7.55521257224938e-05,0
"CREM",0,0,0,7.83892266163876e-05,0
"CTCF",0.000125038278480835,0,0,0.00988557061109625,0
"CTCFL",0,0,0,2.23296927339028e-06,0
"CUX1",0,0,0,0.000238309473765522,0
"CUX2",0,0,0,3.88178199216296e-05,0
"DBP",0,0,0,1.90673211763678e-05,0
"DLX1",0,0,0,0.000683993257345564,0
"DLX6",0,0,0,1.01445818372232e-05,0
"DMRT3",0,0,0,5.09025306346044e-05,0
"DMRTA1",7.84358895342458e-06,0,0,0.000203616549490133,0
"DMRTA2",0,0,0,2.68693025857659e-05,0
"DMRTC2",0,0,0,4.82683871028325e-06,0
"DPRX",0,0,0,0.000198011748562413,0
"DRGX",0,0,0,3.36294145059491e-06,0
"DUX4",0,0,0,5.2958688756314e-06,0
"DUXA",0.000554812924376695,0,0,0.0011555885033989,0
"E2F1",0,0,0,6.68434841541413e-05,0
"E2F2",0.212476913873785,0.149065793601327,0.292592702273435,0.999999898956049,0.211711645060095
"E2F3",-0.000395001376107271,0,0,0.00733574582859756,-0.00155525742462367
"E2F4",0.287634144952143,0,0.406421607784601,0.90046238612092,0.288998443422716
"E2F6",0,0,0,5.30318648397612e-05,0
"E2F7",0,0,0,6.28252979793431e-05,0
"E2F8",0,0,0,0.000438481435177407,0
"EBF1",0,0,0,3.73408149528987e-05,0
"EBF3",0,0,0,1.35671584540812e-05,0
"EGR1",0,0,0,3.38882075450734e-06,0
"EGR2",0,0,0,3.00876312292436e-06,0
"EGR3",0,0,0,4.47846326089488e-06,0
"EGR4",0,0,0,1.85634460151853e-05,0
"EHF",0,0,0,9.22252499935111e-05,0
"ELF1",0,0,0,4.3981415913869e-05,0
"ELF2",0,0,0,3.66416700802213e-05,0
"ELF3",-3.12960617035514e-05,0,0,0.00518675356173045,-0.000121721460711883
"ELF4",0,0,0,2.25580963531236e-05,0
"ELK1",0,0,0,8.49260528007563e-06,0
"ELK3",0,0,0,2.25908938034378e-05,0
"ELK4",0,0,0,5.64824058040233e-05,0
"EMX1",0,0,0,5.05854477317039e-06,0
"EMX2",0,0,0,1.4384098380525e-05,0
"EN1",0,0,0,4.0037419432615e-05,0
"EN2",0,0,0,0.000112354267397604,0
"EOMES",0,0,0,0.000662356966319929,0
"EPAS1",0,0,0,0.000115228868164751,0
"ERF",0,0,0,0.00299060759673809,0
"ESR1",0,0,0,7.20440488127219e-06,0
"ESR2",0,0,0,1.7420075844163e-05,0
"ESRRA",0,0,0,1.67347219852378e-05,0
"ESRRB",0,0,0,7.40780518537952e-06,0
"ESX1",0,0,0,0.000110648714886265,0
"ETS1",0,0,0,0.000196065993667839,0
"ETS2",0,0,0,2.32575836280953e-05,0
"ETV1",0,0,0,7.80840580818013e-05,0
"ETV2",-1.73436277543505e-05,0,0,0.00254341304656062,0
"ETV3",-0.000525439495151604,0,0,0.00345393732477743,0
"ETV4",0,0,0,1.35023166024789e-05,0
"ETV5",0,0,0,3.2105259857665e-05,0
"ETV6",0,0,0,8.61855751355008e-06,0
"ETV7",0,0,0,4.02366971370402e-06,0
"EVX1",0,0,0,4.75254303698681e-06,0
"EVX2",0,0,0,2.77726952782747e-06,0
"FERD3L",0,0,0,3.84261728999516e-06,0
"FEV",9.41838561388782e-06,0,0,0.00035492194582999,0
"FEZF2",0,0,0,0.000192239200055618,0
"FIGLA",0,0,0,9.12839175704231e-05,0
"FLI1",0.0722406195050969,0,0.126010158799138,0.784479588311231,0.0741042819710531
"FOS",0,0,0,2.21105932550749e-05,0
"FOSL1",0,0,0,1.23724806550182e-05,0
"FOSL2",-0.000789802972602761,0,0,0.0120798634081391,-0.000771927240030332
"FOXA1",0,0,0,4.08368490651262e-05,0
"FOXA2",0.000725445089917034,0,0,0.0207699889906145,0.00102374288698465
"FOXA3",0.00580727341986144,0,0.0967857512784047,0.059578190424765,0.00538476033617029
"FOXB1",0,0,0,6.82189935145857e-06,0
"FOXC1",0,0,0,1.34064629385141e-05,0
"FOXC2",0,0,0,1.55685834656197e-05,0
"FOXD1",0,0,0,8.8125245511246e-05,0
"FOXD2",0,0,0,0.000323132408566939,0
